"Date","Team1","Team2","Toss_Winner","Toss_Decision","Venue","Run1","Over1","Wicket1","Run2","Over2","Wicket2","Winner","Winnerby","Margin"
"2016-10-23","India","New Zealand","India","field","Punjab Cricket Association Stadium, Mohali","285","49.4","10","289","48.2","3","India","wickets","7"
"2010-06-27","England","Australia","England","field","Old Trafford","212","45.6","10","214","49.1","10","England","wickets","1"
"2016-02-06","New Zealand","Australia","New Zealand","bat","Westpac Stadium","281","49.7","10","283","46.3","6","Australia","wickets","4"
"2007-04-07","Bangladesh","South Africa","South Africa","field","Providence Stadium","251","49.6","8","184","48.5","10","Bangladesh","runs","67"
"2012-11-06","Sri Lanka","New Zealand","Sri Lanka","field","Pallekele International Cricket Stadium","188","32.6","6","200","31.1","3","Sri Lanka","wickets","7"
"2013-09-06","Ireland","Scotland","Scotland","bat","Civil Service Cricket Club, Stormont","223","49.6","10","225","49.5","10","Ireland","wickets","1"
"2015-07-15","Bangladesh","South Africa","South Africa","bat","Zahur Ahmed Chowdhury Stadium","168","39.7","8","170","26.1","1","Bangladesh","wickets","9"
"2011-03-18","Ireland","Netherlands","Ireland","field","Eden Gardens","306","49.8","10","307","47.4","4","Ireland","wickets","6"
"2012-02-26","Australia","India","Australia","bat","Sydney Cricket Ground","252","49.6","8","165","39.3","10","Australia","runs","87"
"2016-06-24","England","Sri Lanka","Sri Lanka","bat","Edgbaston","254","49.6","7","256","34.1","0","England","wickets","10"
"2006-10-17","Pakistan","Sri Lanka","Sri Lanka","bat","Sawai Mansingh Stadium","253","49.3","10","255","48.1","6","Pakistan","wickets","4"
"2009-06-28","West Indies","India","India","bat","Sabina Park, Kingston","188","48.2","10","192","34.1","2","West Indies","wickets","8"
"2012-07-01","England","India","England","bat","Lord's","229","49.1","10","230","49.3","5","India","wickets","5"
"2006-10-11","Bangladesh","West Indies","Bangladesh","bat","Sawai Mansingh Stadium","161","46.3","10","164","36.4","0","West Indies","wickets","10"
"2006-01-26","Australia","Sri Lanka","Sri Lanka","bat","Adelaide Oval","218","49.6","8","219","48.3","5","Australia","wickets","5"
"2011-12-03","Bangladesh","Pakistan","Pakistan","bat","Shere Bangla National Stadium","262","49.6","7","186","49.6","7","Pakistan","runs","76"
"2009-05-03","Australia","Pakistan","Australia","bat","Sheikh Zayed Stadium","250","49.7","4","254","46.6","3","Pakistan","wickets","7"
"2014-08-30","England","India","India","field","Trent Bridge","227","49.7","10","228","42.6","4","India","wickets","6"
"2012-02-18","England","Pakistan","Pakistan","bat","Dubai International Cricket Stadium","222","49.6","10","226","37.2","1","England","wickets","9"
"2014-11-09","India","Sri Lanka","Sri Lanka","bat","Rajiv Gandhi International Stadium, Uppal","242","48.3","10","245","44.1","4","India","wickets","6"
"2014-09-10","Ireland","Scotland","Ireland","field","The Village, Malahide","221","49.5","10","225","44.3","7","Ireland","wickets","3"
"2007-10-26","Pakistan","South Africa","Pakistan","bat","Multan Cricket Stadium","230","49.6","10","233","37.4","3","South Africa","wickets","7"
"2007-03-13","West Indies","Pakistan","Pakistan","field","Sabina Park, Kingston","241","49.6","10","187","47.2","10","West Indies","runs","54"
"2007-11-08","India","Pakistan","India","bat","Punjab Cricket Association Stadium, Mohali","321","49.6","10","322","49.5","6","Pakistan","wickets","4"
"2013-07-28","Sri Lanka","South Africa","South Africa","bat","Pallekele International Cricket Stadium","238","48.4","10","239","43.6","2","Sri Lanka","wickets","8"
"2009-08-16","Zimbabwe","Bangladesh","Zimbabwe","bat","Queens Sports Club","312","49.6","8","313","47.6","6","Bangladesh","wickets","4"
"2012-03-08","Australia","Sri Lanka","Sri Lanka","field","Adelaide Oval","231","49.3","10","215","48.5","10","Australia","runs","16"
"2007-01-19","Australia","England","England","bat","Brisbane Cricket Ground, Woolloongabba","155","41.8","10","156","38.4","6","Australia","wickets","4"
"2013-01-18","Australia","Sri Lanka","Australia","bat","Brisbane Cricket Ground, Woolloongabba","74","26.4","10","75","19.6","6","Sri Lanka","wickets","4"
"2008-04-11","Pakistan","Bangladesh","Bangladesh","bat","Iqbal Stadium","225","48.2","8","160","23.3","3","Pakistan","wickets","7"
"2011-02-22","England","Netherlands","Netherlands","bat","Vidarbha Cricket Association Stadium, Jamtha","292","49.6","6","296","48.4","4","England","wickets","6"
"2014-03-05","Afghanistan","India","India","field","Shere Bangla National Stadium","159","45.2","10","160","32.2","2","India","wickets","8"
"2012-08-31","Australia","Pakistan","Australia","bat","Sheikh Zayed Stadium","248","49.6","10","249","43.4","3","Pakistan","wickets","7"
"2014-02-20","Bangladesh","Sri Lanka","Sri Lanka","bat","Shere Bangla National Stadium","289","49.6","6","228","42.7","10","Sri Lanka","runs","61"
"2007-03-23","West Indies","Ireland","Ireland","bat","Sabina Park, Kingston","183","47.7","8","190","38.1","2","West Indies","wickets","8"
"2007-03-28","South Africa","Sri Lanka","Sri Lanka","bat","Providence Stadium","209","49.3","10","212","48.2","10","South Africa","wickets","1"
"2009-11-09","New Zealand","Pakistan","New Zealand","bat","Sheikh Zayed Stadium","211","46.3","10","204","49.1","10","New Zealand","runs","7"
"2015-01-21","South Africa","West Indies","West Indies","bat","Buffalo Park","122","33.4","10","124","24.4","1","South Africa","wickets","9"
"2010-10-17","South Africa","Zimbabwe","Zimbabwe","bat","Senwes Park","268","48.2","10","273","38.6","2","South Africa","wickets","8"
"2007-04-11","Bangladesh","England","England","field","Kensington Oval, Bridgetown","143","37.2","10","147","44.5","6","England","wickets","4"
"2006-08-15","Kenya","Bangladesh","Bangladesh","field","Gymkhana Club Ground","118","41.2","10","120","26.6","4","Bangladesh","wickets","6"
"2008-01-30","Pakistan","Zimbabwe","Zimbabwe","bat","Iqbal Stadium","244","49.5","10","245","46.6","3","Pakistan","wickets","7"
"2011-01-26","Australia","England","England","bat","Adelaide Oval","299","49.6","8","278","49.6","7","England","runs","21"
"2010-06-03","Zimbabwe","India","Zimbabwe","field","Harare Sports Club","194","49.6","10","197","38.2","3","Zimbabwe","wickets","7"
"2012-07-28","Sri Lanka","India","Sri Lanka","bat","R Premadasa Stadium","286","49.6","5","288","49.4","5","India","wickets","5"
"2015-04-19","Bangladesh","Pakistan","Pakistan","bat","Shere Bangla National Stadium","239","49.6","6","240","38.1","3","Bangladesh","wickets","7"
"2007-02-11","Australia","England","England","bat","Sydney Cricket Ground","246","49.6","7","152","26.6","8","England","runs","34"
"2011-01-29","New Zealand","Pakistan","New Zealand","field","AMI Stadium","293","49.6","7","250","49.6","10","Pakistan","runs","43"
"2006-02-16","Pakistan","India","India","field","Multan Cricket Stadium","161","41.5","10","162","32.3","5","India","wickets","5"
"2011-12-06","Bangladesh","Pakistan","Pakistan","bat","Zahur Ahmed Chowdhury Stadium","177","46.1","10","119","37.6","10","Pakistan","runs","58"
"2010-07-16","Ireland","Bangladesh","Ireland","bat","Civil Service Cricket Club, Stormont","189","45.7","10","191","37.4","4","Bangladesh","wickets","6"
"2015-01-30","England","India","England","field","Western Australia Cricket Association Ground","200","48.2","10","201","46.6","7","England","wickets","3"
"2006-09-14","India","West Indies","India","bat","Kinrara Academy Oval","309","49.6","5","141","19.6","2","West Indies","runs","29"
"2008-11-17","India","England","India","bat","Maharani Usharaje Trust Cricket Ground","292","49.6","10","238","46.6","10","India","runs","54"
"2009-04-01","Ireland","Scotland","Ireland","field","Willowmoore Park","232","49.6","7","233","37.4","3","Ireland","wickets","7"
"2011-02-21","Australia","Zimbabwe","Australia","bat","Sardar Patel Stadium, Motera","262","49.6","6","171","46.2","10","Australia","runs","91"
